,Reactant,Charge R,Multiplicity R,Product,Charge P,Multiplicity P,X,R1,R2,R3,R4,R5,Potential,canonSMILES
92,N(C)(C)C1=CC=C(C([H])([H])C([H])OC2=CC=CC=C2)C=C1,0,1,N(C)(C)C1=CC=C(C([H])([H])C([H])OC2=CC=CC=C2)C=C1,1,2,O,C1=CC=CC=C1,[H],N(C)(C),[H],[H],0.8066374,CN(C)c1ccc(CCOc2ccccc2)cc1
93,N(C)(C)C1=CC=C(C([H])(C)C(OC)OC2=CC=CC=C2)C=C1,0,1,N(C)(C)C1=CC=C(C([H])(C)C(OC)OC2=CC=CC=C2)C=C1,1,2,O,C1=CC=CC=C1,OC,N(C)(C),[H],C,0.80767138,COC(Oc1ccccc1)C(C)c1ccc(N(C)C)cc1
94,N(C)(C)C1=CC=C(C(C2=CC=CC=C2)(C3=CC=CC=C3)C(Br)OC4=CC=CC=C4)C=C1,0,1,N(C)(C)C1=CC=C(C(C2=CC=CC=C2)(C3=CC=CC=C3)C(Br)OC4=CC=CC=C4)C=C1,1,2,O,C1=CC=CC=C1,Br,N(C)(C),C1=CC=CC=C1,C1=CC=CC=C1,0.80810674,CN(C)c1ccc(C(c2ccccc2)(c2ccccc2)C(Br)Oc2ccccc2)cc1
96,N(C)(C)C1=CC=C(C([H])(C2=CC=CC=C2)C(OC)OC3=CC=CC=C3)C=C1,0,1,N(C)(C)C1=CC=C(C([H])(C2=CC=CC=C2)C(OC)OC3=CC=CC=C3)C=C1,1,2,O,C1=CC=CC=C1,OC,N(C)(C),[H],C1=CC=CC=C1,0.81558949,COC(Oc1ccccc1)C(c1ccccc1)c1ccc(N(C)C)cc1
97,N(C)(C)C1=CC=C(C(C2=CC=CC=C2)(C3=CC=CC=C3)C(C)OC4=CC=CC=C4)C=C1,0,1,N(C)(C)C1=CC=C(C(C2=CC=CC=C2)(C3=CC=CC=C3)C(C)OC4=CC=CC=C4)C=C1,1,2,O,C1=CC=CC=C1,C,N(C)(C),C1=CC=CC=C1,C1=CC=CC=C1,0.81626974,CC(Oc1ccccc1)C(c1ccccc1)(c1ccccc1)c1ccc(N(C)C)cc1
98,N(C)(C)C1=CC=C(C(C2=CC=CC=C2)(C3=CC=CC=C3)C([H])OC)C=C1,0,1,N(C)(C)C1=CC=C(C(C2=CC=CC=C2)(C3=CC=CC=C3)C([H])OC)C=C1,1,2,O,C,[H],N(C)(C),C1=CC=CC=C1,C1=CC=CC=C1,0.81648742,COCC(c1ccccc1)(c1ccccc1)c1ccc(N(C)C)cc1
99,N(C)(C)C1=CC=C(C(C2=CC=CC=C2)(C)C(Br)OC)C=C1,0,1,N(C)(C)C1=CC=C(C(C2=CC=CC=C2)(C)C(Br)OC)C=C1,1,2,O,C,Br,N(C)(C),C1=CC=CC=C1,C,0.8172493000000001,COC(Br)C(C)(c1ccccc1)c1ccc(N(C)C)cc1
100,N(C)(C)C1=CC=C(C(C)(C)C(Br)OCOC)C=C1,0,1,N(C)(C)C1=CC=C(C(C)(C)C(Br)OCOC)C=C1,1,2,O,COC,Br,N(C)(C),C,C,0.81874585,COCOC(Br)C(C)(C)c1ccc(N(C)C)cc1
101,N(C)(C)C1=CC=C(C(C)(C)C(C#N)OC)C=C1,0,1,N(C)(C)C1=CC=C(C(C)(C)C(C#N)OC)C=C1,1,2,O,C,C#N,N(C)(C),C,C,0.8188819,COC(C#N)C(C)(C)c1ccc(N(C)C)cc1
103,N(C)(C)C1=CC=C(C([H])(C2=CC=CC=C2)C(C)OC3=CC=CC=C3)C=C1,0,1,N(C)(C)C1=CC=C(C([H])(C2=CC=CC=C2)C(C)OC3=CC=CC=C3)C=C1,1,2,O,C1=CC=CC=C1,C,N(C)(C),[H],C1=CC=CC=C1,0.82236478,CC(Oc1ccccc1)C(c1ccccc1)c1ccc(N(C)C)cc1
105,N(C)(C)C1=CC=C(C(C)(C2=CC=CC=C2)C(Br)OCOC)C=C1,0,1,N(C)(C)C1=CC=C(C(C)(C2=CC=CC=C2)C(Br)OCOC)C=C1,1,2,O,COC,Br,N(C)(C),C,C1=CC=CC=C1,0.82299061,COCOC(Br)C(C)(c1ccccc1)c1ccc(N(C)C)cc1
106,N(C)(C)C1=CC=C(C([H])(C)C(C#N)OC)C=C1,0,1,N(C)(C)C1=CC=C(C([H])(C)C(C#N)OC)C=C1,1,2,O,C,C#N,N(C)(C),[H],C,0.82348039,COC(C#N)C(C)c1ccc(N(C)C)cc1
108,N(C)(C)C1=CC=C(C(C2=CC=CC=C2)(C)C(Br)OC3=CC=CC=C3)C=C1,0,1,N(C)(C)C1=CC=C(C(C2=CC=CC=C2)(C)C(Br)OC3=CC=CC=C3)C=C1,1,2,O,C1=CC=CC=C1,Br,N(C)(C),C1=CC=CC=C1,C,0.82413343,CN(C)c1ccc(C(C)(c2ccccc2)C(Br)Oc2ccccc2)cc1
109,N(C)(C)C1=CC=C(C([H])(C2=CC=CC=C2)C(Br)OC)C=C1,0,1,N(C)(C)C1=CC=C(C([H])(C2=CC=CC=C2)C(Br)OC)C=C1,1,2,O,C,Br,N(C)(C),[H],C1=CC=CC=C1,0.82674559,COC(Br)C(c1ccccc1)c1ccc(N(C)C)cc1
110,N(C)(C)C1=CC=C(C(C)(C)C(C#N)OCOC)C=C1,0,1,N(C)(C)C1=CC=C(C(C)(C)C(C#N)OCOC)C=C1,1,2,O,COC,C#N,N(C)(C),C,C,0.82941217,COCOC(C#N)C(C)(C)c1ccc(N(C)C)cc1
111,N(C)(C)C1=CC=C(C(C2=CC=CC=C2)(C3=CC=CC=C3)C(C4=CC=CC=C4)OC5=CC=CC=C5)C=C1,0,1,N(C)(C)C1=CC=C(C(C2=CC=CC=C2)(C3=CC=CC=C3)C(C4=CC=CC=C4)OC5=CC=CC=C5)C=C1,1,2,O,C1=CC=CC=C1,C1=CC=CC=C1,N(C)(C),C1=CC=CC=C1,C1=CC=CC=C1,0.83001079,CN(C)c1ccc(C(c2ccccc2)(c2ccccc2)C(Oc2ccccc2)c2ccccc2)cc1
